iter	Passed	Remaining
816	4257	953
817	4272	950
818	4277	945
819	4281	939
820	4284	934
821	4288	928
822	4292	923
823	4295	917
824	4298	911
825	4305	906
826	4308	901
827	4312	895
828	4316	890
829	4320	884
830	4323	879
831	4328	874
832	4332	868
833	4335	862
834	4339	857
835	4343	852
836	4346	846
837	4349	840
838	4353	835
839	4356	829
840	4359	824
841	4363	818
842	4367	813
843	4370	807
844	4373	802
845	4379	797
846	4383	791
847	4386	786
848	4394	781
849	4397	776
850	4400	770
851	4405	765
852	4409	759
853	4412	754
854	4419	749
855	4422	743
856	4425	738
857	4428	732
858	4432	727
859	4435	721
860	4438	716
861	4450	712
862	4456	707
863	4460	702
864	4462	696
865	4465	691
866	4469	685
867	4472	680
868	4475	674
869	4478	669
870	4483	663
871	4486	658
872	4489	653
873	4495	648
874	4499	642
875	4502	637
876	4508	632
877	4511	626
878	4515	621
879	4521	616
880	4524	611
881	4528	605
882	4536	601
883	4539	595
884	4542	590
885	4546	584
886	4550	579
887	4554	574
888	4557	569
889	4561	563
890	4564	558
891	4568	553
892	4572	547
893	4575	542
894	4581	537
895	4585	532
896	4589	526
897	4592	521
898	4595	516
899	4599	511
900	4602	505
901	4606	500
902	4612	495
903	4615	490
904	4618	484
905	4621	479
906	4626	474
907	4629	469
908	4633	463
909	4636	458
910	4640	453
911	4643	448
912	4646	442
913	4650	437
914	4654	432
915	4657	427
916	4661	421
917	4666	416
918	4669	411
919	4709	409
920	4750	407
921	4756	402
922	4760	397
923	4767	392
924	4770	386
925	4773	381
926	4777	376
927	4782	371
928	4801	366
929	4806	361
930	4811	356
931	4814	351
932	4818	346
933	4822	340
934	4824	335
935	4827	330
936	4832	324
937	4837	319
938	4840	314
939	4843	309
940	4847	303
941	4850	298
942	4853	293
943	4858	288
944	4863	283
945	4866	277
946	4872	272
947	4876	267
948	4880	262
949	4885	257
950	4888	251
951	4891	246
952	4894	241
953	4901	236
954	4904	231
955	4907	225
956	4913	220
957	4916	215
958	4920	210
959	4924	205
960	4928	200
961	4931	194
962	4936	189
963	4940	184
964	4943	179
965	4946	174
966	4951	168
967	4954	163
968	4958	158
969	4963	153
970	4966	148
971	4971	143
972	4975	138
973	4978	132
974	4981	127
975	4984	122
976	4988	117
977	4991	112
978	4996	107
979	4999	102
980	5003	96
981	5005	91
982	5009	86
983	5013	81
984	5015	76
985	5019	71
986	5022	66
987	5026	61
988	5029	55
989	5032	50
990	5035	45
991	5038	40
992	5042	35
993	5045	30
994	5047	25
995	5051	20
996	5054	15
997	5057	10
998	5062	5
999	5067	0
